true/false,content string
FALSE,weve tested more than every country combined nope through april 28 the united states had conducted 59 million tests according to worldometer the next five countries russia germany italy spain and united arab emirates had conducted 10 million tests as of that date
FALSE,if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any youre right mr president we wouldnt have any cases similarly to how if people stopped recording the police wed have 0 cases of police brutality check yourself sir
FALSE,democrat govs like carney are milking this pandemic people should not be wearing face masks even the cdc does not recommend them for healthy people
FALSE,that ad is hilarious btw it says trump bailed out wall street but not main street the tax cut was literally the main policy nevertrump conservatives widely praised and backed
FALSE,saw 2 teens riding bikes today with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
FALSE,holy hit like im really gonna do this bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,says michigan gov gretchen whitmers family spent may 20 at her second home breaking her own stayathome orders smartnews
FALSE,10 benefits of hemp seed oil for great health antiinflammation enhanced immune cannabis may stop coronavirus from infecting people study finds olympian michael phelps talks about infamous bong photo
FALSE,a new study from canada suggests that cannabis extracts containing thc and cbd could prevent the novel coronavirus from infecting human cells via
FALSE,can you catch coronavirus in a swimming pooland does chlorine kill the virus heres what experts say quotes
FALSE,on april 28 2020 potus trump boasted weve tested more than every country combined this was a patently false statement as of april 29 2020 the world had tested at least 361 million people for covid19 the us had tested only 68 million people
FALSE,i bet you didnt know dr fauci sat on microsofts board of directors and that bill gates was his boss now did ya
FALSE,fact check doctors are not encouraged by hospitals and ama to overcount covid19 deaths lead stories via
FALSE,im not gonna claim to be a stable genius or anything but i mean i did just discover the cure for cancer stop testing for it simple as that if we stopped testing right now wed have very few cases if any
FALSE,corona virus claims a black belt chuck norris dead at 80 carlos ray chuck norris famous actor and fighter died yesterday afternoon at his home in northwood hills tx at the age of 80 chuck starred in dozens
FALSE,if we stopped testing right now wed have very few cases if any our president
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,have never swim in the sea can you catch the coronavirus from a swimming pool via
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,first volunteer in uk coronavirus vaccine trial has died
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people absolutely noevidencewhatsoever socialdistancing or wearing masks does any good
FALSE,also at a white house event last week trump explained his theory on covid19 testing if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any makes perfect sense said no one
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,if you thought children couldnt get coronavirus youre not alone a state representative said this on facebook new york is considering opening schools because children dont seem to be getting this virus this is false read why
FALSE,can you catch coronavirus in a swimming pooland does chlorine kill the virus heres what experts say
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna most holy family explains all via
FALSE,the downside of having good testing is you find a lot of cases that other countries who dont even test dont have if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any
FALSE,cannabis may stop coronavirus from infecting people study finds
FALSE,according to politifacts executive director it didnt have a problem with any of the statistics in the ad about the coronavirus death toll or unemployment numbers instead it zeroed in on one sentence trump bailed out wall street but not main street
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via how will you explain to your children that you allowed an experiment to be performed on them inside of their bodies no less
FALSE,can you catch coronavirus in a swimming pool latest government advice
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna currently there are no rna vaccines approved for human use wikipedia
FALSE,trump bailed out wall street but not main street
FALSE,wednesdaywisdom if we stopped testing right now wed have very few cases if any trump object permanence is a 9 month old developmental milestone that involves a babys understanding that when things disappear from view they dont cease to exist
FALSE,oh if we ignore the problem there will be no problem trump on coronavirus testing if we stopped testing right now wed have very few cases if any
FALSE,truth scienceisreallygood but viruses mutate and can still kill novel coronavirus means that this strain of flu is new and as yet unfamiliar says that the covid19 virus was not manmade i choose to trust the doctor over the politicians on this one
FALSE,tweets barack obama is the first expresident to ever speak against his successor rated false by politifact via factstream factsmatter
FALSE,trump joe biden and the democrats want to prosecute americans for going to church but not for burning a church they believe you can riot vandalize and destroy but you cannot attend a peaceful proamerica rally
FALSE,if we stopped testing right now wed have very few cases if any
FALSE,the british government has not seen any evidence to suggest that the novel coronavirus that causes covid19 was manmade uk health secretary matt hancock said on wednesday
FALSE,i bet you didnt know dr fauci sat on microsofts board of directors and that bill gates was his boss now did ya
FALSE,fact check does this video show people celebrating the end of saudi arabias coronavirus lockdown by trevor schakohl
FALSE,trump bailed out wall street but not main street theres mourning in america under the leadership of donald trump our country is weaker sicker and poorer these words i hope you remember them on november 3rd
FALSE,trump claimed that the united states is the best in the world on testing ridiculous he twice said weve tested more than every country combined which is a lie
FALSE,donald trump said if we stopped testing right now wed have very few cases if any so to recap trumps proposed covid19 solutions include inject yourself with bleach stand in the sunlight take dangerous useless drugs kill all the old people just ignore the problem
FALSE,automated story bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna see more
FALSE,and every tyrannical governor who is forcing a shutdown until the virus is eradicated or a vaccine is available mandatory vaccines are in direct violation of the nuremberg code line 1 i will not be forced to take any other vaccine in life
FALSE,can you catch coronavirus in a swimming pooland does chlorine kill the virus heres what experts say
FALSE,volunteers or guinea pigs first volunteer in uk coronavirus vaccine trial has died opwecanseeyou filmyourhospital plandemic covidiots
FALSE,if we stopped testing right now wed have very few cases if any but we do trumpsanidiot trumpliesamericansdie trumpsjealousofobama
FALSE,mourning in america today more than 60000 americans have died from a deadly virus trump ignored with the economy in shambles more than 26 million americans out of work the worst economy in decades trump bailed out wall street but not main street
FALSE,children dont seem to be getting this virus gop state lawmaker says
FALSE,weve tested more than every country combined s claim that the us tested more than all countries is not only inaccurate but also ridiculous we rate it pants on fire
FALSE,contrary to claims in viral social media posts the novel coronavirus was not manmade nor patented before outbreak via
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,first volunteer in uk coronavirus vaccine trial has died
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,barack hussain obama is the first expresident to ever speak against his successor which was long tradition of decorum and decency should anyone really be surprised trumpsjealousofobama i seriously doubt it obamagate maga kag foxnews
FALSE,cannabis may stop coronavirus from infecting people study finds i hate the word may i dont think this is true headers like this give good traffic
FALSE,wheres your scientific research proving those false claims it has been proven the virus particles are smaller than mask holes masks wont stop you from getting infected also explain why cdc still does not recommend wearing masks unless you are sick talk about uneducated
FALSE,if we stopped testing right now wed have very few cases if any djt
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,michigan sends absentee ballots to 77 million people ahead of primaries the general election hydroxychloroquine studies only gave drug to dying patients biden called him xenophobic 4 banning travel from china then apologized weve tested more than every country combined
FALSE,us director of national intelligence now says novel coronavirus is not manmade but it is examining whether the outbreak began through contact with infected animals or if it was the result of an accident at a laboratory in wuhan latest on the topic
FALSE,new the lincoln projects antitrump ad has attracted a lot of attention but we found one of its claims that trump bailed out wall street but not main street was inaccurate
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,claims that the novel coronavirus was manmade or leaked by chinas national biosafety laboratory at the wuhan institute of virology wiv is totally contrary to the facts according to lab director yuan zhiming
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,can you catch the coronavirus from a swimming pool via cdc has been wrong since the virus started open space ocean and pools will be fine to be in remember the models were way off base
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,trump flat out lied weve tested more than every country combined chk worldometer tests per million population at least 30 countries have tested more of their pop than us has
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,trump bailed out wall street but not main street
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,anyone who wants to ask why did the state do that with covid patients in nursing homes its because the state followed president trumps cdc guidance so they should ask president trump
FALSE,cdc does not recommend wearing masks outside we need rules dictated by science
FALSE,how is the claim that trump bailed out wall street but not main street false last i checked main street did reap the benefits of the tax cut nor are they the recipients of covid19 federal aid the fix is in
FALSE,corona virus claims a black belt chuck norris dead at 80 carlos ray chuck norris famous actor and fighter died yesterday afternoon at his home in northwood hills tx at the age of 80 chuck starred in dozens
FALSE,free horses 52 thoroughbred horses need homes will go to sugarcreek this sat for slaughter gentleman died due to covid19 and his son wants nothing to do with them most broodmares are broke and some are in foal weanling yearlings 2 yrs and 3 yrs old most are gelded
FALSE,coronavirus testing if we stopped testing right now wed have very few cases if any
FALSE,at this time cdc has no data to suggest that covid19 is spread by mosquitoes or ticks the main way that covid19 spreads is from person to person however mosquitoes can spread other illnesses including zika and wnv
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,we rounded up several of the worst offenders from trump weve tested more than every country combined nope we inherited a very broken test both false and illogical
FALSE,fact check doctors are not encouraged by hospitals and ama to overcount covid19 deaths coronavirusfacts datoscoronavirus
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,why is a health wellness pro wearing a mask cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
FALSE,trump on coronavirus testing if we stopped testing right now wed have very few cases if any
FALSE,trump on coronavirus testing if we stopped testing right now wed have very few cases if any
FALSE,why is a health wellness pro wearing a mask cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
FALSE,what the what is this about bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,remember just yesterday when facebook slapped a warning on a political ad that said trump bailed out wall street but not main street insisting such a claim was false
FALSE,trump bailed out wall street but not main street
FALSE,joe biden and the democrats want to prosecute americans for going to church but not for burning a churchtrump rally
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,new post on leadstoriescom fact check doctors are not encouraged by hospitals and ama to overcount covid19 deaths
FALSE,says joe biden has written a letter of apology for calling trumps travel restrictions from china xenophobic never happened
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people pssstthere is absolutely wearing masks does any good
FALSE,david icke bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,joe biden and the democrats want to prosecute americans for going to church but not for burning a church
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,we are the best in the world in testing weve tested much more than anybody else times 2 or every country combined weve tested more than every country combined trump said falsely as us has not even come close close to doing more testing than all other countries combined
FALSE,graphics shared thousands of times on social media claim to show the exact probability of covid19 carriers spreading the disease if they or another person wears a mask the claim is misleading fakenews coronavirus covid19 coronavirusfacts
FALSE,donald trump weve tested more than every country combined rated pants on fire by politifact via factstream
FALSE,trump on mon suggested that the covid19 was already a faded threat in comments that defied science logic if you dont test you dont have any cases he said if we stopped testing right now wed have very few cases if any but we do trump said
FALSE,anyone with a farm want free horses free horses 52 thoroughbred horses need homes will go to sugarcreek this sat for slaughter gentleman died due to covid19 and his son wants nothing to do with them most broodmares are broke and some are in foal weanling yearlings
FALSE,fang says that this in itself does not prove that the novel coronavirus was manmade as a genetic similarity of 99 would be required to declare them identical
FALSE,facebook posts anthony fauci was on the clinton foundation board for 20 years and currently serves on gates foundation rated false by politifact via factstream
FALSE,i was the person who saved preexisting conditions in your healthcare weve tested more than every country combined military raise for the first time in 10 years unitedtheright had a permit the other group didnt have a permit all demonstrably false retractions
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna wed even think of taking a vaccine produced by this man wake up folks
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks who masks should only be worn by health care workers people with symptoms masks can kill some people
FALSE,david icke bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,evidence is lacking that black cats in vietnam are being killed and consumed as a covid19 cure
FALSE,the cdc just confirmed a 02 deathrate for covid19 for that we have added nearly 6 trillion to national debt laidoff or furloughed 50 million workers placed 60 million on food stamps gone from 35to 147 unemployment crippled the petroleum industry
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,massive failure of leadership and complete denial of the issue if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any trump said
FALSE,can you catch coronavirus in swimming pools or sea water spain in rush to find out ahead of welcoming tourists back
FALSE,an article circulating on facebook claims that microsoft cofounder bill gates said a covid19 vaccine could kill almost one million people citing an interview he gave this claim is false fakenews covid19
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,on may 1 the us intelligence agency said a novel coronavirus was not manmade pompeo who used to belong to the us intelligence agency said it originated in a chinese lab and was manmade you are inconsistent inconsistent and deceitful can you give me some proof
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,fake news detected and confirmed false on this claim black cats in vietnam are being killed and consumed as a covid19 cure check out the link below for details
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna hafmay 18 2020 now this is so much worse than hydroxychloroquine how many americans r going to take this vaccine
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,hearing impaired how the cdc does not recommend children under the age of 2 wearing masks its not hard to wear a mask for most people i just did 19 miles yesterday on foot on a bike with my mask on be polite are you unable to wear a mask if not why arent you
FALSE,if you look at the one hydroxychloroquine survey the only bad survey they were giving it to people that were in very bad shape they were very old almost dead is this assessment of those surveys true
FALSE,saw 2 teens riding bikes with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
FALSE,lincoln project mourning in america ring any bells where all the statistics were true but was censored by facebook because it said trump bailed out wall street but not main street instead of trump bailed out wall st more than main st
FALSE,eat this eric the mainstream media pretended there was a deadly surge in covid cases thanks to wisconsinites voting smartnews
FALSE,donald trump stated on april 27 2020 in comments made during a white house briefing weve tested more than every country combined
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,do you think that if we stopped testing right now wed have very few cases if any do you think dc mayor bowser wouldnt let the police get involved in protests outside the white house do you think twitter is stifling free speech
FALSE,barry abrams conway really hit a nerve the trump campaign statement says that the lincoln project ad falsely claims the coronavirus is a deadly virus donald trump ignored and also takes issue with the pacs claims that trump bailed out wall street but not main street
FALSE,saw 2 teens riding bikes today with masks onthis is dangerous cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,economy in shambles >26 million americans out of job economy worst in decades trump bailed out wall street but not main street under leadership of trumpus is today weaker sicker poorer trumps delayed inefficient response to the pandemic
FALSE,is trump inept or is it planned take out maga gunuts no waco clinical endocannabinoid deficiency cannabis may stop coronavirus from infecting people study finds cannabinoids and viral infections
FALSE,politifact zeroed in on one sentence donald trump bailed out wall street but not main street to many this may seem like an opinion whose worth depends on data their reason is total bullshit fridaymorning facebookads
FALSE,the downside of having good testing is you find a lot of cases that other countries who dont even test dont have if you dont test you dont have any cases if we stopped testing right now wed have very few cases if any
FALSE,vaccine enforcement is strictly forbidden it cannot be mandatory vaccines are in direct violation of the nuremberg code a violation of article 6 section 1 billgates nurembergcode vaccine
FALSE,cannabis may stop coronavirus from infecting people study finds
FALSE,0615 00550100 paid for by the lincoln project which is responsible for the content of this advertising comments 1 the title of the video is mourning in america 2 the sentence trump bailed out wall street but not main street takes up 4 seconds of the video
FALSE,says president barack obama signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves and ventilaors sic to china europe and russia to avoid the tax
FALSE,cdc does not recommend healthy wear mask surgeongeneral masks not useful drfauci we should not be wearing masks masks can kill some people neurologist masks impair oxygen intake
FALSE,trump on coronavirus testing if we stopped testing right now wed have very few cases if any via
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,trump on coronavirus testing if we stopped testing right now wed have very few cases if any via
FALSE,asking again for a friend pelosi was in wuhan china 6 days after the impeachment hoax failed has anyone bothered to ask what she was doing there
FALSE,when you wish upon a star cannabis may stop coronavirus from infecting people study finds merry jane
FALSE,the cdc just confirmed a 02 deathrate for covid19 for that we have added nearly 6 trillion to national debt laidoff or furloughed 50 million workers placed 60 million on food stamps gone from 35to 147 unemployment crippled the petroleum industry
FALSE,dr anthony fauci has known for 15 years that chloroquine and hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases
FALSE,donald trump stated on may 3 2020 in a fox news virtual town hall says joe biden has written a letter of apology for calling trumps travel restrictions from china xenophobic
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna gates has no medical nor scientific credentials why are they listening to him answer
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,trump on coronavirus testing if we stopped testing right now wed have very few cases if any
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna
FALSE,bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna via
FALSE,trump bailed out wall street but not main street trumpvirus mourning in america
